tag,des,des_2
DB12598,Nafamostat is a synthetic serine protease inhibitor that is commonly formulated with hydrochloric acid due to its basic properties. It has been used in trials studying the prevention of Liver Transplantation and Postreperfusion Syndrome. The use of nafamostat in Asian countries is approved as an anticoagulant therapy for patients undergoing continuous renal replacement therapy due to acute kidney injury.,"Used as an anticoagulant in patients with disseminative blood vessel coagulation, hemorrhagic lesions, and hemorrhagic tendencies. It prevents blood clot formation during extracorporeal circulation in patients undergoing continuous renal replacement therapy and extra corporeal membrane oxygenation. "
DB12601,"Sonolisib has been used in trials studying the treatment of Glioblastoma, Prostate Cancer, Advanced Solid Tumors, Advanced BRAF-mutant Cancers, and Non Small Cell Lung Cancer (NSCLC), among others.",
DB12602,Pentetreotide has been used in trials studying the diagnostic of cushing syndrome.,
DB12604,Sisomicin has been used in trials studying the treatment of Pyoderma.,
DB12605,Etripamil has been used in trials studying the treatment of Paroxysmal Supraventricular Tachycardia (PSVT).,
DB12606,Netivudine has been used in trials studying the treatment of Chickenpox and HIV Infections.,
DB12607,"Cr6261 is under investigation in clinical trial NCT02016066 (A Study to Assess the Safety, Pharmacokinetics and Immunogenicity of Diridavumab in Japanese Healthy Participants).",
DB12608,"Emixustat has been used in trials studying the treatment of Geographic Atrophy, Age-Related Macular Degeneration, and Dry Age-related Macular Degeneration.",
DB12609,"Tovetumab has been used in trials studying the treatment of Cancer, Glioblastoma Multiforme, and Advanced Solid Malignancies.",
DB12610,"Ebselen has been investigated for the treatment and basic science of Meniere's Disease, Type 2 Diabetes Mellitus, and Type 1 Diabetes Mellitus.",
DB12611,PF-00477736 has been used in trials studying the treatment of Neoplasms.,
DB12612,"Ozanimod has been used in trials studying the treatment of Crohn's Disease, Ulcerative Colitis, Multiple Sclerosis, and Relapsing Multiple Sclerosis.",
DB12613,"Davunetide is the first drug to improve memory performance by impacting the mechanisms that lead to physical damage in the brain caused by neurofibrillary tangles, one of the two established pathological hallmarks that are common to amnestic mild cognitive impairment (aMCI) and Alzheimer's disease (AD). Davunetide is derived from a naturally occurring neuroprotective brain protein known as activity dependent neuroprotective protein.",
DB12614,"Reparixin has been used in trials studying the treatment and prevention of Breast Cancer, Metastatic Breast Cancer, Pancreatectomy for Chronic Pancreatitis, Islet Transplantation in Diabetes Mellitus Type 1, and Pancreatic Islet Transplantation in Type 1 Diabetes Mellitus.",
DB12615,"Developed by Achaogen biopharmaceuticals, plazomicin is a next-generation aminoglycoside synthetically derived from [DB12604]. The structure of plazomicin was established via appending hydroxylaminobutyric acid to [DB12604] at position 1 and 2-hydroxyethyl group at position 6' [A33942]. It was designed to evade all clinically relevant aminoglycoside-modifying enzymes, which contribute to the main resistance mechanism for aminoglycoside therapy [A33942]. However, acquired resistance of aminoglycosides may arise through over expression of efflux pumps and ribosomal modification by bacteria, which results from amino acid or rRNA sequence mutations [A33942]. Like other aminoglycosides, plazomicin is ineffective against bacterial isolates that produce 16S rRNA methyltransferases [FDA Label]. Plazomicin mediates the antibacterial activity against pathogens including carbapenem-resistant (CRE) and extended-spectrum beta-lactamase (ESBL) producing _Enterobacteriaceae_. It mediates the antibacterial activity by binding to bacterial 30S ribosomal subunit and inhibiting protein synthesis [FDA Label]. On June 28th, 2018, plazomicin sulfate was approved by the FDA for use in adult patients for the treatment of complicated urinary tract infections (cUTI) including Pyelonephritis. It is marketed as Zemdri and is administered via once-daily intravenous infusion.","Plazomicin is indicated for the treatment of patients 18 years of age or older with Complicated Urinary Tract Infections (cUTI) including Pyelonephritis, who have limited or no alternative treatment options. It should only be used to treat infections that are proven or strongly suspected to be caused by susceptible microorganisms [FDA Label]. "
DB12616,"Sprifermin has been used in trials studying the treatment of Osteoarthritis, Knee and Cartilage Injury of Knee.",
DB12617,Mizoribine has been investigated for the treatment of Rheumatoid Arthritis.,
DB12618,Acetovanillone has been used in trials studying the treatment of Bronchial Asthma and Chronic Obstructive Pulmonary Disease.,
DB12619,"BMS-188797 has been used in trials studying the treatment of Unspecified Adult Solid Tumor, Protocol Specific.",
DB12620,"Nerve Growth Factor has been used in trials studying the prevention and treatment of Mental Handicap, Alzheimer's Disease, Traumatic Brain Injury, Cerebral Palsy Children, and Delayed Speech Development, among others.",
DB12621,ST101 has been used in trials studying the treatment of Essential Tremor and Alzheimer's Disease.,
DB12622,Lupeol has been investigated for the treatment of Acne.,
DB12623,"Taprenepag has been used in trials studying the treatment of Ocular Hypertension and Glaucoma, Open-Angle.",
DB12624,Octenidine is under investigation in clinical trial NCT02697162 (Antiseptic-coated Intermittent Urinary Catheter).,
DB12625,"Evogliptin has been used in trials studying the treatment and screening of Osteoporosis, Renal Impairment, Type 2 Diabetes Mellitus, Diabetes Mellitis Type 2, and Diabetes Mellitus, Type 2.",
DB12626,"Senrebotase has been used in trials studying the treatment of Neuralgia, Postherpetic and Urinary Bladder, Overactive.",
DB12627,"GSK1292263 has been investigated for the treatment of DIABETES MELLITUS, TYPE 2.",
DB12628,Methyl-D9-choline is under investigation in clinical trial NCT01807910 (ER Stress in NAFLD).,
DB12629,DITPA has been investigated in Congestive Heart Failure.,
DB12630,Isoamyl 2 Cyanoacrylate is under investigation in clinical trial NCT02698644 (Hysteroscopic Tubal Occlusion With the Use of Iso Amyl-2-cyanoacrylate).,
DB12631,"Aclerastide has been investigated for the treatment of Diabetic Foot, Diabetic Foot Ulcers, and Foot Ulcer, Diabetic.",
DB12632,"JNJ-41443532 has been used in trials studying the basic science and treatment of Diabetes Mellitus, Type 2.",
DB12633,"BMS-184476 has been used in trials studying the treatment of Unspecified Adult Solid Tumor, Protocol Specific.",
DB12634,Navicixizumab is under investigation in clinical trial NCT02298387 (A Phase 1 Study of Navicixizumab in Subjects With Solid Tumors).,
DB12635,Aleplasinin has been investigated in Alzheimer Disease.,
DB12636,Samalizumab has been used in trials studying the treatment of Multiple Myeloma and B-cell Chronic Lymphocytic Leukemia.,
DB12637,"Onapristone has been used in trials studying the treatment of Prostate Cancer, Recurrent Prostate Cancer, Metastatic Prostate Cancer, Androgen-independent Prostate Cancer, and Progesterone Receptor Positive Tumor: Max 1 Line of Prior Chemotherapy, no Prior Hormone Therapy.",
DB12638,"PU-H71 has been used in trials studying the treatment of LYMPHOMA, Solid Tumors, Metastatic Solid Tumor, and Myeloproliferative Neoplasms (MPN).",
DB12639,"Telbermin has been used in trials studying the treatment of Foot Ulcer, Foot Ulcer, Diabetic, and Amyotrophic Lateral Sclerosis.",
DB12640,LNK 754 has been investigated in Mild Alzheimer's Disease.,
DB12641,Tedatioxetine has been used in trials studying the treatment of Major Depressive Disorder.,
DB12642,Olumacostat glasaretil has been used in trials studying the treatment of Acne Vulgaris.,
DB12643,"Nelivaptan has been used in trials studying the treatment of Anxiety Disorders, Depressive Disorder, and Major Depressive Disorder.",
DB12644,"AZD2066 has been used in trials studying the treatment and basic science of Pain, Chronic Pain, Reflux Episodes, Neuropathic Pain, and Diabetic Neuropathy, among others.",
DB12645,"Givinostat has been used in trials studying the treatment of Polycythemia Vera, Juvenile Idiopathic Arthritis, Duchenne Muscular Dystrophy (DMD), Chronic Myeloproliferative Neoplasms, and Polyarticular Course Juvenile Idiopathic Arthritis.",
DB12647,Tocotrienol has been investigated for the treatment of Cholesterol Lowering.,
DB12648,Nona-arginine is under investigation in clinical trial NCT00264706 (PolyArginine Treated vEiN grafTs (PATENT)).,
DB12649,Ibipinabant has been used in trials studying the treatment of Obesity and Obesity and Type 2 Diabetes.,
DB12650,L-deprenyl-D2 C-11 is under investigation in clinical trial NCT01701089 (A Study of RO4602522 in Patients With Alzheimer Disease and in Healthy Volunteers).,
DB12651,"Bardoxolone has been used in trials studying the treatment of LYMPHOMA and Solid Tumors. It is a synthetic triterpenoid and a highly potent activator of redox-sensitive signaling pathways that induce programmed cell death (apoptosis) in cancer cells that are under high levels of intrinsic oxidative stress. In contrast, Bardoxolone in normal cells induces protective antioxidant/anti-inflammatory responses.",
DB12652,Endothelin 1 is under investigation in clinical trial NCT00745693 (The Effects of Diesel Exhaust Inhalation on Vascular Function - the Role of Endothelin).,
DB12654,GSK376501 has been used in trials studying the treatment and diagnostic of Type 2 Diabetes Mellitus.,
DB12655,Patidegib has been investigated for the treatment of Conventional Chondrosarcoma.,
DB12656,"Somatorelin has been used in trials studying the treatment of Aging, Elderly, Sleep Disorders, Hormone Deficiency, and Mild Cognitive Impairment.",
DB12657,"Jnj 42396302 is under investigation in clinical trial NCT01732237 (A Study to Investigate the Pharmacokinetics of JNJ-42396302, JNJ-53773187 and JNJ-42692507 in Healthy Male Participants).",
DB12658,"AFN-1252 has been used in trials studying the treatment of Cellulitis, Burn Infection, Wound Infection, Cutaneous Abscess, and Skin and Subcutaneous Tissue Bacterial Infections.",
DB12659,SJ-733 has been used in trials studying Malaria.,
DB12660,"Samatasvir has been used in trials studying the treatment of Hepatitis C, Chronic, Chronic Hepatitis C Virus, and Chronic Hepatitis C Infection.",
DB12661,Urapidil has been investigated for the treatment of Hypertension During Pre-Eclampsia.,
DB12662,"Naveglitazar has been used in trials studying the treatment of Diabetes Mellitus, Non-Insulin-Dependent.",
DB12663,Letrazuril has been used in trials studying the treatment of HIV Infections and Cryptosporidiosis.,
DB12664,Indantadol has been used in trials studying the treatment of Cough and Diabetic Peripheral Neuropathic Pain.,
DB12665,"Isoquercetin has been used in trials studying the treatment of Kidney Cancer, Renal cell carcinoma, Advanced Renal Cell Carcinoma, Thromboembolism of Vein in Pancreatic Cancer, and Thromboembolism of Vein VTE in Colorectal Cancer, among others.",
DB12666,"Emapunil has been used in trials studying the basic science and diagnostic of Baseline, Blocking Receptor Binding, and Neurodegenerative Disorders.",
DB12667,Prothionamide has been used in trials studying the treatment of MDR-TB and HIV Infections.,
DB12668,Metenkefalin has been used in trials studying the treatment of Tumors.,
DB12669,4SC-203 has been used in trials studying the treatment of Acute Myeloid Leukemia.,
DB12670,Rolofylline is under clinical development by pharmaceutical company NovaCardia for the treatment of congestive heart failure.,
DB12671,"Beloranib has been used in trials studying the treatment of Obesity, Over-weight, Type 2 Diabetes, Craniopharyngioma, and Hypothalamic Injury, among others.",
DB12672,"Icaritin has been used in trials studying the treatment of Solid Tumors, Metastatic Breast Cancer, and Hepatocellular Carcinoma (HCC).",
DB12673,"Axt914 is under investigation in clinical trial NCT00417261 (Safety, Tolerability, Pharmacodynamic and Pharmacokinetic Effects of Single and Multiple-Doses of ATF936 and AXT914 Administered Orally in Healthy Subjects.).",
DB12674,"Lurbinectedin has been used in trials studying the treatment of Solid Tumors, Breast Cancer, Ovarian Cancer, Metastatic Sarcoma, and Neuroendocrine Tumors, among others.",
DB12675,Pf 04995274 is under investigation in clinical trial NCT01193062 (Study In Healthy Subjects To Evaluate The Changes In The Protein sAPP-Alpha In Cerebrospinal Fluid Following A Single Oral Dose Of PF-04995274).,
DB12676,Modufolin is under investigation for the treatment of Osteosarcoma.,
DB12677,"Soblidotin has been used in trials studying the treatment of Sarcoma, Lung Cancer, and Unspecified Adult Solid Tumor, Protocol Specific.",
DB12678,"Relamorelin has been investigated for the treatment and basic science of Gastroparesis, Gastric Motility, Diabetes Mellitus, Parkinson's Disease, and Chronic Constipation, among others.",
DB12679,"WP1066 has been used in trials studying the treatment of Melanoma, Brain Cancer, Solid Tumors, and Central Nervous System Neoplasms.",
DB12680,Intepirdine has been used in trials studying the treatment of Alzheimer's Disease.,
DB12681,"Salirasib has been used in trials studying the diagnostic of Carcinoma, Non-Small-Cell Lung.",
DB12682,"Mubritinib has been used in trials studying the treatment of Lung Neoplasm, Renal Neoplasm, Breast Neoplasm, Ovarian Neoplasm, and Pancreatic Neoplasm.",
DB12683,"Lumretuzumab has been used in trials studying the treatment of Neoplasms, Breast Cancer, Squamous Non-Small Cell Lung Cancer, and Non-Squamous Non-Small Cell Lung Cancer.",
DB12684,Cy 503 is under investigation in clinical trial NCT00658437 (Aviscumine for the Treatment of Malignant Melanoma Stage IV After Failure of Prior Therapy).,
DB12685,K-134 has been used in trials studying the treatment of Intermittent Claudication.,
DB12686,PHA-793887 has been used in trials studying the treatment of Advanced/Metastatic Solid Tumors.,
DB12687,Vesatolimod has been used in trials studying the treatment of Hepatitis B and Chronic Hepatitis B.,
DB12688,"MxP appears as an improved form of BL22 by the mutation of the Fv region and the antibody phage-displayed. As well the residues SSY in the heavy chain are mutated to THW.[A38864] It was developed by Astra Zeneca and FDA approved on September 13, 2018, after being granted the status of Fast Track, Priority Review and Orphan Drug designations.[L4568]","HCL is an uncommon type of lymphocytic leukemia that starts in B cells or B lymphocytes. It is characterized by an accumulation of abnormal B lymphocytes. HCL is called ""hairy"" as it produces hair-like projections in the surface of the cancer cells. A usual symptom in people having HCL is the presence of splenomegaly and less often hepatomegaly.[A38877]"
DB12689,Azeliragon has been used in trials studying the treatment of Alzheimer's Disease.,
DB12690,"LY2584702 has been used in trials studying the treatment of Cancer, Advanced Cancer, Renal Cell Carcinoma, Metastases, Neoplasm, and Neuroendocrine Tumors, among others.",
DB12691,"UK-432,097 has been used in trials studying the treatment of Pulmonary Disease, Chronic Obstructive.",
DB12692,"Gusperimus has been used in trials studying the treatment of Lupus Nephritis, Wegeners Granulomatosis, and Wegener's Granulomatosis.",
DB12693,Ritanserin has been used in trials studying the treatment of Cocaine-Related Disorders.,
DB12694,"CE-326,597 has been used in trials studying the treatment of Obesity.",
DB12695,"Phenethyl Isothiocyanate has been used in trials studying the prevention and treatment of Leukemia, Lung Cancer, Tobacco Use Disorder, and Lymphoproliferative Disorders.",
DB12696,BMS-582949 has been investigated for the treatment of Psoriasis.,
DB12697,Methylselenocysteine has been used in trials studying the prevention of Prostate Carcinoma and No Evidence of Disease.,
DB12698,This drug was approved in March 2018 for the management of treatment-resistant HIV [L1554].,The approval of Trogarzo was supported by a clinical trial of 40 treatment-experienced adults with MDR HIV-1 infection who persistently had elevated levels of HIV RNA in their blood despite heavy antiretroviral therapy. The majority of study patients had previously been treated with ¡Ý10 antiretroviral medications [L1554].
DB12699,Balugrastim has been used in trials studying the treatment of Solid Tumors.,
DB12700,Solamargine has been used in trials studying the treatment of Actinic Keratosis.,
DB12701,Intetumumab has been used in trials studying the treatment of Melanoma.,
DB12702,Velusetrag has been used in trials studying the treatment of Gastroparesis and Alzheimer's Disease. It is a highly selective serotonin receptor agonist effective in patients with chronic constipation. It is being developed by Theravance. Velusetrag was discovered by Theravance through the application of its multivalent drug design in a research program dedicated to finding new treatments for GI motility disorders.,
DB12703,"Omipalisib has been used in trials studying the treatment of CANCER, Solid Tumours, and Idiopathic Pulmonary Fibrosis.",
DB12704,Spiradoline has been investigated for the basic science of Bipolar Depression.,
DB12705,Cenerimod has been used in trials studying the treatment of Systemic Lupus Erythematosus.,
DB12706,Seletalisib has been used in trials studying the treatment and basic science of Primary Sjogren's Syndrome.,
DB12707,"AR-42 has been used in trials studying the treatment of Meningioma, Acoustic Neuroma, Testicular Lymphoma, Intraocular Lymphoma, and Vestibular Schwannoma, among others.",
DB12708,"Sulprostone has been used in trials studying Abortion, Induced.",
DB12709,"Tributyrin has been used in trials studying the treatment of Prostate Cancer and Unspecified Adult Solid Tumor, Protocol Specific.",
DB12710,"Perazine has been used in trials studying the treatment of Dementia, Depression, Schizophrenia, Anxiety Disorders, and Psychosomatic Disorders, among others.",
DB12711,"LTX-109 has been investigated for the treatment of Atopic Dermatitis, Mild Eczema/Dermatoses, and Gram-positive, Skin Infections.",
DB12712,Pilsicainide has been investigated for the treatment of Paroxysmal Atrial Fibrillation.,
DB12713,"Sotagliflozin has been used in trials studying the treatment of Renal impairment, Hepatic Impairment, Type 1 Diabetes Mellitus, and High Level of Sugar (Glucose) in the Blood.",
DB12714,"Nerispirdine has been used in trials studying the treatment of Neuritis, Optic Nerve, and Multiple Sclerosis.",
DB12715,MSX-122 has been used in trials studying the treatment of Solid Tumors.,
DB12716,NB-001 has been investigated for the treatment of Recurrent Herpes Labialis.,
DB12717,Mibampator has been used in trials studying the treatment of Alzheimer's Disease.,
DB12718,Carlumab has been used in trials studying the treatment of Cancer and Prostate Cancer.,
DB12719,Fxr 450 is under investigation in clinical trial NCT00509756 (Study Evaluating Turofexorate isopropyl in Healthy Japanese Men).,
DB12720,Nivocasan has been used in trials studying the treatment of HCV Infection and Nonalcoholic Steatohepatitis.,
DB12721,RO5028442 has been used in trials studying Autistic Disorder.,
DB12722,N-sulfoglucosamine sulfohydrolase recombinant is under investigation for the treatment of Mucopolysaccharidosis III and Sanfilippo Syndrome Type A (MPS IIIA).,
DB12724,AZD7295 has been investigated for the treatment of Hepatitis C.,
DB12725,TD-8954 has been used in trials studying the treatment of Enteral Feeding Intolerance and Gastrointestinal Motility Disorder.,
DB12726,Monteplase has been used in trials studying the treatment of Pulmonary Embolism.,
DB12727,"Perfosfamide has been used in trials studying the treatment of Lymphoma, Neuroblastoma, and Multiple Myeloma and Plasma Cell Neoplasm.",
DB12728,Fenpropidin has been investigated for the treatment of Hernia.,
DB12729,"ASP3026 has been used in trials studying the treatment of Solid Tumor, B-Cell Lymphoma, Advanced Malignancies, Positive for Anaplastic Lymphoma Kinase, and Positive for Proto-Oncogene Tyrosine-Protein Kinase ROS.",
DB12730,"Dolastatin 10 has been used in trials studying the treatment of Sarcoma, Leukemia, Lymphoma, Liver Cancer, and Kidney Cancer, among others.",
DB12731,"Daporinad has been used in trials studying the treatment of Melanoma, Cutaneous T-cell Lymphoma, and B-cell Chronic Lymphocytic Leukemia.",
DB12732,Firategrast has been used in trials studying the treatment of Multiple Sclerosis.,
DB12733,Dipraglurant has been used in trials studying the treatment of Parkinson's Disease. It is a metabotropic glutamate receptor 5 (mGluR5) negative allosteric modulator (NAM).,
DB12734,Demcizumab is under investigation for the treatment of Nonsquamous Nonsmall Cell Neoplasm of Lung.,
DB12736,"Etanidazole has been used in trials studying the diagnostic of Adult Ependymoma, Malignant Ascites, Adult Gliosarcoma, Adult Mixed Glioma, and Adult Glioblastoma, among others.",
DB12737,"Brontictuzumab has been used in trials studying the treatment of Adenoid Cystic Carcinoma, Relapsed or Refractory Solid Tumors, and Relapsed or Refractory Lymphoid Malignancies.",
DB12738,Tiplimotide has been used in trials studying the treatment of Multiple Sclerosis.,
DB12739,Bindarit has been used in trials studying the prevention and treatment of Coronary Restenosis and Diabetic Nephropathy.,
DB12740,"CC-115 has been used in trials studying the treatment of Prostate Cancer, Neoplasm Metastasis, Ewing's Osteosarcoma, Glioblastoma Multiforme, and Chronic Lymphocytic Leukemia, among others.",
DB12741,Dtp348 has been used in trials studying the treatment of Solid Tumors and Head and Neck Neoplasms.,
DB12742,"Amuvatinib has been used in trials studying the treatment of Solid Tumors and Small Cell Lung Carcinoma. Amuvatinib is an oral, selective multi-targeted tyrosine kinase inhibitor that suppresses c-MET, c-RET and the mutant forms of c-KIT, PDGFR and FLT3. Amuvatinib also suppresses Rad51 protein, a critical component of double-stranded DNA repair in cancer cells.","Amuvatinib is a selective multi-targeted tyrosine kinase inhibitor that suppresses c-MET, c-RET and the mutant forms of c-KIT, PDGFR and FLT3. Amuvatinib also suppresses Rad51 protein, a critical component of double-stranded DNA repair in cancer cells."
DB12743,Z160 has been used in trials studying the treatment of Postherpetic Neuralgia and Lumbosacral Radiculopathy.,
DB12744,"JI-101 has been used in trials studying the treatment of Cancer, Colon Cancer, Neuroendocrine, Ovarian Cancer, and Advanced Solid Tumors.",
DB12745,"GSK690693 has been used in trials studying the treatment of Tumor, CANCER, and Lymphoma.",
DB12746,AKN-028 has been used in trials studying the treatment of Acute Myeloid Leukemia.,
DB12747,"Tertomotide is under investigation in clinical trial NCT01223209 (A Study, Combination, Immunologic Study of LTX-315 as adjunct to tertomotide in Patients Following Curative Surgery for Carcinoma). It is a peptide vaccine that activates the immune system so that it recognizes and kills cancer cells. It is being developed by Pharmexa A/S.",
DB12748,"LTX-315 has been used in trials studying the treatment of Cancer, Lymphoma, Melanoma, Carcinoma, and Breast Cancer, among others.",
DB12749,Butylphthalide has been used in trials studying the prevention of Restenosis.,
DB12750,L-NAME has been investigated for the treatment of Hypotension and Spinal Cord Injury.,
DB12751,"Malic acid has been used in trials studying the treatment of Xerostomia, Depression, and Hypertension.",
DB12752,Bucindolol has been investigated in Heart Failure.,
DB12753,"Racivir, also known as RCV, is an oxothiolane nucleoside reverse transcriptase inhibitor similar to emtricitabine and lamivudine. Racivir is a 50:50 mixture of emtricitabine [DB00879] and its positive enantiomer. Racivir has been used in trials studying the prevention of HIV Infections.",
DB12754,"Iodide has been investigated for the treatment of Goiter, Nodular.",
DB12755,"Zoptarelin doxorubicin has been used in trials studying the treatment of Breast Cancer, Ovarian Cancer, Prostate Cancer, Endometrial Cancer, and Urothelial Carcinoma, among others.",
DB12756,"TAK-901 has been used in trials studying the treatment of Lymphoma, Myelofibrosis, Multiple Myeloma, Myeloid Metaplasia, and Advanced Solid Tumors, among others.",
DB12757,"Pelitrexol has been used in trials studying the treatment of Unspecified Adult Solid Tumor, Protocol Specific.",
DB12758,Atreleuton has been used in trials studying the treatment of Atherosclerosis and Coronary Artery Disease.,
DB12759,Suptavumab has been used in trials studying the treatment and basic science of Respiratory Syncytial Virus Infections.,
DB12760,GW493838 has been used in trials studying the treatment of Neuropathic Pain.,
DB12761,"Timcodar has been used in trials studying the treatment of Unspecified Adult Solid Tumor, Protocol Specific.",
DB12762,"Rabacfosadine has been used in trials studying the treatment of Multiple Myeloma, Non-Hodgkin's Lymphoma, and Chronic Lymphocytic Leukemia.",
DB12763,MK-1496 has been used in trials studying the treatment of Neoplasms and Malignant.,
DB12764,ABC294640 has been used in trials studying the treatment of Diffuse Large B Cell Lymphoma.,
DB12765,Methyl isocyanate has been investigated for the treatment of Nosocomial Pneumonia.,
DB12766,"Cicletanine is under investigation for the treatment of Diabetes, Hypokalemia, Hyponatremia, and Arterial Hypertension.",
DB12767,Gaxilose has been used in trials studying the diagnostic of Lactose Intolerance.,
DB12768,"BCG vaccine has been investigated for the treatment of Neoplasms, Bladder Cancer, Neoplasms by Site, Urologic Diseases, and Urologic Neoplasms, among others.",
DB12769,"Lometrexol has been used in trials studying the treatment of Lung Cancer, Drug/Agent Toxicity by Tissue/Organ, and Unspecified Adult Solid Tumor, Protocol Specific.",
DB12770,"Lafutidine has been investigated in Peptic Ulcer, Community-acquired Pneumonia, and Gastroesophageal Reflux Disease (GERD).",
DB12771,Hydroxytyrosol has been used in trials studying the prevention of Breast Cancer.,
DB12773,"Sifalimumab is a fully human monoclonal antibody targeting interferon-alpha. The levels of interferon-alpha are elevated in many patients with active systemic lupus erythematosus (SLE, or lupus) and other autoimmune disorders, and may be associated with disease activity. Sifalimumab may suppress the abnormal immune activity associated with lupus by binding to multiple interferon-alpha subtypes seen in the serum of lupus patients.",
DB12774,"AZD8055 has been used in trials studying the treatment of Cancer, Lymphomas, Solid Tumors, MALIGNANT GLIOMA, and brainstem glioma, among others.",
DB12775,Abituzumab has been used in trials studying the treatment of Prostate Cancer Metastatic.,
DB12776,E6005 has been used in trials studying the treatment of Atopic Dermatitis.,
DB12777,Somatoprim is under investigation for the treatment of Acromegaly.,
DB12778,"Rivipansel has been used in trials studying the other, basic science, and treatment of Pain Crisis, Renal impairment, Anemia, Sickle Cell, Sickle Cell Disease, and Sickle Cell Disorders, among others.",
DB12779,Higenamine is under investigation in clinical trial NCT01451229 (Pharmacokinetics and Pharmacodynamics of Higenamine in Chinese Healthy Subjects).,
DB12780,Quinfamide has been used in trials studying the treatment of Amoebiasis and Helminthiasis.,
DB12781,"Balaglitazone has been used in trials studying the treatment of Diabetes Mellitus, Type 2.",
DB12782,Sch 486757 has been used in trials studying the treatment of Cough.,
DB12783,"Moreover, the European Medcines Agency has conferred an orphan designation upon benseraside since 2015 for its potential to be used as a therapy for beta thalassaemia as well [F3].","There have also been some studies that have prompted the European Medicines Agency to confer orphan designation upon benserazide  hydrochloride as a potential therapy for beta thalassaemia [F3]. Although studies are ongoing, no evidence has been formally elucidated as of yet [F3]."
DB12784,"NS-018 has been used in trials studying the treatment of Primary Myelofibrosis, Post-Polycythemia Vera Myelofibrosis, and Post-Essential Thrombocythemia Myelofibrosis.",
DB12785,"Furaprevir is under investigation in clinical trial NCT01523990 (A Study to Evaluate the Safety, Tolerability, and PK in Healthy Volunteers and HCV Genotype 1 Infected Patients).",
DB12786,Alvircept Sudotox has been used in trials studying the treatment of HIV Infections.,
DB12787,Norethandrolone is under investigation in clinical trial NCT00700544 (Treatment Outcome in Elderly Patients).,
DB12788,Glucagon-like peptide II is under investigation for the basic science of Short Bowel Syndrome.,
DB12789,Dinoprost has been investigated in Headache.,
DB12791,Laninamivir has been used in trials studying the treatment of Influenza.,
DB12792,"Boscalid has been investigated for the treatment of OSDI, Glaucoma, Staining, Schirmers, and Disease Severity, among others.",
DB12793,"Condoliase has been used in trials studying the treatment of Lumbar Disc Disease, Lumbar Vertebra Hernia, and Intervertebral Disc Disease.",
DB12794,p-Quaterphenyl has been used in trials studying the treatment of Malaria.,
DB12795,"CMX-2043 has been used in trials studying the treatment and prevention of Non STEMI, Unstable Angina, Stable Coronary Artery Disease, and Percutaneous Coronary Intervention.",
DB12796,MRX-I has been used in trials studying the treatment of Bacterial Infections.,
DB12797,Ecromeximab has been used in trials studying the treatment of Cutaneous Melanoma and Metastatic Melanoma.,
DB12798,Relenopride has been used in trials studying the treatment of Chronic Idiopathic Constipation.,
DB12799,Laniquidar has been used in trials studying the treatment of Breast Cancer.,
DB12800,CHF6001 has been used in trials studying the treatment of Asthma and Chronic Obstructive Pulmonary Disease.,
DB12802,Picropodophyllin has been investigated for the treatment of Non Small Cell Lung Cancer.,
DB12803,Dichloroisoproterenol has been used in trials studying the treatment and basic science of Insulin Resistance and Polycystic Ovary Syndrome.,
DB12804,Daniquidone has been used in trials studying the treatment of Neoplasms.,
DB12805,Ataciguat has been investigated for the basic science of Aortic Valve Stenosis.,
DB12806,"Gsk1004723 has been investigated for the treatment of Allergic Rhinitis and Rhinitis, Allergic, Seasonal.",
DB12807,"Naptumomab Estafenatox has been used in trials studying the treatment of Pancreatic Cancer, Renal Cell Carcinoma, and Non-Small-Cell Lung Carcinoma.",
DB12808,"Trifarotene is a topical retinoid cream used in the treatment of acne vulgaris that was first approved for use in the United States in October 2019.[L9013] Retinoids are a class of medications structurally and functionally analogous to [vitamin A], though later generation retinoids such as trifarotene and [adapalene] bear little structural resemblance to vitamin A and are analogous only in function.[A187081] Trifarotene is considered the first of the ""fourth-generation"" retinoids due to its uniquely selective activity - this selectivity appears to confer improved efficacy and reduced side effects as compared to older, less selective retinoids.[A187054]",Trifarotene is indicated for the topical treatment of acne vulgaris in patients 9 years of age and older.[L9013]
DB12809,BK-MDA has been used in trials studying the treatment of Bladder Exstrophy and Urinary Incontinence.,
DB12810,An2718 has been used in trials studying Tinea Pedis.,
DB12812,Palomid 529 has been used in trials studying the treatment of Age-Related Macular Degeneration.,
DB12813,Radium 223 is under investigation in clinical trial NCT02463799 (Ph 2 Study of Sipuleucel-T W/ or W/O Radium-223 in Men With Asymptomatic or Minimally Symptomatic Bone-MCRPC).,
DB12814,Cepeginterferon alfa-2B is under investigation in clinical trial NCT01889433 (An Open-label Comparative Efficacy and Safety Study of Algeron (Cepeginterferon Alfa-2b) in Treatment-naive Patients With Chronic Hepatitis C).,
DB12815,"Crotedumab has been used in trials studying the treatment of Diabetes Mellitus, Type 2.",
DB12816,Terpinen-4-ol is under investigation in clinical trial NCT01647217 (Demodex Blepharitis Treatment Study).,
DB12817,Zoliflodacin has been used in trials studying the basic science and treatment of Gonorrhoea.,
DB12818,NM-3 has been used in trials studying the treatment of Neoplasms.,
DB12819,GSI-136 has been used in trials studying the treatment of Alzheimer Disease.,
DB12820,Concizumab has been used in trials studying the treatment of Haemophilia A and Congenital Bleeding Disorder.,
